Try	Factoidal
1	3
2	4
3	3
4	3
5	9
6	4
7	4
8	10
9	1
10	1
11	7
12	1
13	10
14	1
15	12
16	8
17	4
18	15
19	1
20	4
21	7
22	8
23	4
24	10
25	12
26	7
27	5
28	1
29	6
30	4
31	12
32	3
33	5
34	6
35	3
36	1
37	1
38	3
39	6
40	4
41	5
42	1
43	6
44	11
45	11
46	3
47	3
48	3
49	3
50	5
51	3
52	4
53	14
54	1
55	6
56	8
57	7
58	5
59	3
60	5
61	6
62	1
63	8
64	9
65	6
66	6
67	11
68	3
69	9
70	5
71	7
72	1
73	3
74	11
75	1
76	3
77	10
78	4
79	15
80	3
81	3
82	8
83	5
84	1
85	17
86	1
87	16
88	4
89	1
90	9
91	9
92	1
93	7
94	3
95	6
96	3
97	3
98	11
99	14
100	1
101	15
102	13
103	6
104	1
105	8
106	6
107	6
108	8
109	4
110	3
111	3
112	10
113	3
114	6
115	4
116	15
117	9
118	9
119	5
120	6
121	11
122	1
123	1
124	1
125	4
126	3
127	6
128	3
129	7
130	5
131	3
132	4
133	4
134	13
135	3
136	6
137	4
138	7
139	9
140	14
141	1
142	1
143	6
144	10
145	7
146	8
147	3
148	3
149	3
150	13
151	6
152	3
153	10
154	1
155	3
156	7
157	11
158	10
159	1
160	3
161	9
162	3
163	6
164	6
165	12
166	3
167	1
168	7
169	3
170	5
171	6
172	7
173	3
174	8
175	1
176	1
177	9
178	3
179	4
180	3
181	10
182	3
183	3
184	16
185	1
186	6
187	5
188	5
189	7
190	1
191	1
192	4
193	7
194	6
195	10
196	1
197	6
198	12
199	5
200	6
201	6
202	6
203	10
204	3
205	4
206	8
207	6
208	13
209	1
210	6
211	5
212	11
213	7
214	15
215	1
216	13
217	6
218	6
219	7
220	10
221	7
222	10
223	3
224	12
225	1
226	10
227	7
228	1
229	12
230	3
231	8
232	9
233	8
234	1
235	10
236	5
237	13
238	11
239	3
240	16
241	6
242	12
243	11
244	1
245	3
246	1
247	6
248	7
249	6
250	16
251	3
252	17
253	1
254	8
255	15
256	4
257	3
258	9
259	1
260	5
261	10
262	4
263	8
264	11
265	1
266	15
267	3
268	6
269	5
270	1
271	5
272	3
273	6
274	4
275	3
276	6
277	6
278	17
279	1
280	6
281	3
282	5
283	13
284	4
285	4
286	1
287	7
288	5
289	9
290	9
291	3
292	4
293	8
294	9
295	11
296	8
297	8
298	3
299	10
300	1
